,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@chazman @lexfridman Fasting rocks,1559,107,2022-10-25 13:54:37+00:00
1,elonmusk,@VitalikButerin @balajis @zengjiajun_eth Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.,5717,330,2022-10-25 13:24:27+00:00
2,elonmusk,@dogeofficialceo @DirtyTesLa @rocobasilisk @SwipeWright 💯,1616,107,2022-10-25 09:16:17+00:00
3,elonmusk,@garyblack00 @SawyerMerritt One man’s hedge is another man’s shrub,2956,152,2022-10-25 08:30:54+00:00
4,elonmusk,@muskQu0tes Yup,5355,226,2022-10-25 08:19:58+00:00
5,elonmusk,@emollick True,2615,141,2022-10-25 08:11:11+00:00
6,elonmusk,@elon_wisdom Too much respect for authority inhibits innovation,20959,2279,2022-10-25 08:01:29+00:00
7,elonmusk,@DirtyTesLa @rocobasilisk @SwipeWright 💪,1029,34,2022-10-25 07:55:19+00:00
8,elonmusk,@stevenmarkryan @EmmetPeppers @heydave7 @TwitterSpaces @YouTube 😉,3560,188,2022-10-25 04:35:20+00:00
9,elonmusk,What lesson took you the longest to unlearn?,98046,7844,2022-10-25 04:33:08+00:00
10,elonmusk,διαλεκτική,70619,5144,2022-10-25 01:25:34+00:00
11,elonmusk,"@SwipeWright Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasionally rancorous, debate between widely divergent beliefs.",17722,2165,2022-10-25 01:15:05+00:00
12,elonmusk,@MuskUniversity Absolutely necessary,1816,124,2022-10-24 22:45:37+00:00
13,elonmusk,@DavidSacks @MarcBodnick !,1883,89,2022-10-24 21:39:38+00:00
14,elonmusk,@realchrisrufo @MaxBoot 🤣🤣,11798,493,2022-10-24 21:38:44+00:00
15,elonmusk,@MuskUniversity Important,8075,434,2022-10-24 20:49:20+00:00
16,elonmusk,@MuskUniversity Yup,1288,65,2022-10-24 20:46:26+00:00
17,elonmusk,@DavidSacks Exactly!,2179,105,2022-10-24 20:41:15+00:00
18,elonmusk,@SawyerMerritt 🤣,11487,436,2022-10-24 20:40:14+00:00
19,elonmusk,"@VinnyLingham Yeah, doesn’t make sense",24243,1210,2022-10-24 18:45:00+00:00
20,elonmusk,@MuskUniversity Good thread,2427,127,2022-10-24 13:49:02+00:00
21,elonmusk,@RenataKonkoly @spideycyp_155 @SquawkCNBC @Kasparov63 I only play crazy 9’s,1698,79,2022-10-24 13:42:48+00:00
22,elonmusk,"@MarcusHouse @LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti That’s the plan, unless it is damaged in testing. What really matters is that ship &amp; booster production line is spooling up. Also, each new ship &amp; booster has incremental design improvements.",3568,226,2022-10-24 13:39:48+00:00
23,elonmusk,"@ChananBos @SquawkCNBC @Kasparov63 Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Valley, which I did for about a decade.

Frankly, I like it this way, as I get to see my friends, who I love, more often.",5465,264,2022-10-24 13:35:53+00:00
24,elonmusk,"@spideycyp_155 @SquawkCNBC @Kasparov63 I did as a child, but found it to be too simple to be useful in real life: a mere 8 by 8 grid, no fog of war, no technology tree, no random map or spawn position, only 2 players, both sides exact same pieces, etc.

Polytopia addresses these limitations.",3346,240,2022-10-24 13:28:44+00:00
25,elonmusk,"@SquawkCNBC @Kasparov63 And I don’t even own a house, let alone a “mansion”, you douche",8308,615,2022-10-24 13:19:56+00:00
26,elonmusk,"@SquawkCNBC @Kasparov63 While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot",14441,1761,2022-10-24 13:13:07+00:00
27,elonmusk,@spideycyp_155 @Teslarati @Writer_01001101 @FedorovMykhailo Yes,1472,73,2022-10-24 12:58:14+00:00
28,elonmusk,@dogeofficialceo @gunsnrosesgirl3 @DolphinDroneDom 🤣,1361,60,2022-10-24 12:51:35+00:00
29,elonmusk,"@gunsnrosesgirl3 @DolphinDroneDom How exciting to be alive at the same time as the largest animal ever! 

Wild that Blue whales are bigger than the biggest dinosaur.",46237,2075,2022-10-24 12:48:28+00:00
30,elonmusk,@FedorovMykhailo @Teslarati @Writer_01001101 You’re most welcome,4963,210,2022-10-24 05:39:47+00:00
31,elonmusk,"@Teslarati @Writer_01001101 Before DoD even came back with an answer, I told @FedorovMykhailo that SpaceX would not turn off Starlink even if DoD refused to provide funding",11528,1080,2022-10-24 02:37:00+00:00
32,elonmusk,@LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti Absolutely!,10187,511,2022-10-23 22:36:41+00:00
33,elonmusk,@SKMorefield Interesting,10629,597,2022-10-23 16:58:01+00:00
34,elonmusk,@pcgamer Great game,35541,1271,2022-10-23 13:31:21+00:00
35,elonmusk,"Maybe it was a social media algorithm, not even people",47836,3622,2022-10-23 13:29:48+00:00
36,elonmusk,Think about who might have decided “The Current Thing” before accepting it,106225,11723,2022-10-23 13:26:21+00:00
37,elonmusk,"Who decides “The Current Thing?”
Real question. I don’t know.",111171,8790,2022-10-23 13:21:51+00:00
38,elonmusk,@andst7 Exactly. WaPo are such hypocrites.,17047,1383,2022-10-23 13:10:44+00:00
39,elonmusk,Neuralink show &amp; tell now on Nov 30,58783,4654,2022-10-23 12:19:22+00:00
40,elonmusk,@muskQu0tes @SpaceX Had to be done,11426,531,2022-10-23 12:11:12+00:00
41,elonmusk,@Gfilche @MartinViecha We’ve come a long way,10863,561,2022-10-23 01:41:03+00:00
42,elonmusk,"i know
|nothing|
is forever",207275,22219,2022-10-23 00:29:28+00:00
43,elonmusk,@BillyM2k @sakitechonline @DavidSacks 🤣💪,3990,156,2022-10-22 21:25:50+00:00
44,elonmusk,@michaelmalice @washingtonpost Good point 🤔,36762,1890,2022-10-22 20:24:41+00:00
45,elonmusk,@MuskUniversity This needs to change. Manufacturing is awesome!,19279,1329,2022-10-22 19:54:11+00:00
46,elonmusk,@muskQu0tes It will happen,23051,1112,2022-10-22 17:24:03+00:00
47,elonmusk,@DavidSacks @TheAtlantic @davidfrum @EliotACohen Hear! Hear!,11577,718,2022-10-22 16:00:09+00:00
48,elonmusk,"@ruthbenghiat Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 trillion dollars per *year* of subsidies those companies receive?
https://t.co/XZxDJAPE9a",24420,2159,2022-10-22 15:06:32+00:00
49,elonmusk,@xuanyiman @stillgray @DavidSacks 😋,1655,67,2022-10-22 07:01:37+00:00
50,elonmusk,"@stillgray @DavidSacks Switzerland &amp; Belgium have great chocolate, but I do also love eccentric British &amp; Irish artisanal sweet shops",1969,106,2022-10-22 07:00:32+00:00
51,elonmusk,@PhreshNic @MedvedevRussiaE @trussliz 🤣,1435,53,2022-10-22 06:43:06+00:00
52,elonmusk,@DavidSacks Good thread,3728,264,2022-10-22 00:39:36+00:00
53,elonmusk,"@teslaownersSV Next week. It’s actually a major release, so a lot more internal testing is needed before going to public beta.",8536,560,2022-10-21 22:43:38+00:00
54,elonmusk,@BillyM2k @DavidSacks 🤣💯,5487,239,2022-10-21 22:37:45+00:00
55,elonmusk,@ksadjadpour Cool,13865,862,2022-10-21 22:33:47+00:00
56,elonmusk,"@DavidSacks 🤣🤣 

Although there could be more R&amp;D in candy tbh. Feels like there hasn’t been much improvement in decades.",27059,1043,2022-10-21 22:20:58+00:00
57,elonmusk,@justindross 🤣,32566,973,2022-10-21 18:38:58+00:00
58,elonmusk,"@WholeMarsBlog Headline is misleading. Starlink can obviously offer far more robust positioning than GPS, as it will have ~1000X more satellites over time. 

Not all will have line of sight to users, but still &gt;10X GPS &amp; far stronger signal.

Just not today’s problem.",9802,760,2022-10-21 18:25:12+00:00
59,elonmusk,@eigenrobot One of my favorite conspiracy theories is that the world is actually 80% men,2699,130,2022-10-21 17:01:53+00:00
60,elonmusk,@ChessProblem un ass ailable logic!,2780,129,2022-10-21 13:22:33+00:00
61,elonmusk,@teslaownersSV Yes,4857,183,2022-10-21 07:25:23+00:00
62,elonmusk,@LifeboatHQ https://t.co/j4ZHlazoPa,1283,89,2022-10-21 06:42:17+00:00
63,elonmusk,"@LifeboatHQ You’re right. Eventually, we all run out of time. https://t.co/GyXk9uZLIW",2111,119,2022-10-21 06:39:47+00:00
64,elonmusk,"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, giving it complexity not otherwise possible https://t.co/Htis0LfRzV",40479,2870,2022-10-21 06:34:33+00:00
65,elonmusk,"@teslaownersSV @BillyM2k Varies a lot. Tesla &amp; SpaceX are in good positions, but many other companies are not. 

Recessions do have a silver lining in that companies that shouldn’t exist stop existing.",3602,335,2022-10-21 06:11:05+00:00
66,elonmusk,"@RenataKonkoly @ThorstenBasch @spideycyp_155 @BillyM2k Those who want Putin removed are laboring under the misapprehension that whoever replaces him will be more amenable to peace or western philosophy, but I think this is unlikely – the Kremlin is not the Nice Guy Olympics",5112,460,2022-10-21 05:54:23+00:00
67,elonmusk,"@ThorstenBasch @spideycyp_155 @BillyM2k Russia overrunning Ukraine would destabilize the entire region, perhaps the world",1477,102,2022-10-21 05:45:12+00:00
68,elonmusk,"@spideycyp_155 @BillyM2k If Russia faced calamitous defeat in conventional warfare for something as strategically critical as Crimea, the probability of using nuclear weapons is high",1454,121,2022-10-21 05:12:37+00:00
69,elonmusk,@jamesplloyd @SpaceX I do. Yes.,2009,78,2022-10-21 05:09:52+00:00
70,elonmusk,"@spideycyp_155 @BillyM2k Still very unlikely, but this is the closest we’ve been since Cuba in ‘62",1568,101,2022-10-21 05:06:29+00:00
71,elonmusk,"@teslaownersSV @BillyM2k Just guessing, but probably until spring of ‘24",5048,560,2022-10-21 04:53:50+00:00
72,elonmusk,@BillyM2k It sure would be nice to have one year without a horrible global event,50040,3161,2022-10-21 04:51:37+00:00
73,elonmusk,@AndrewPerpetua “Brutal for both sides” will be a common phrase in the months to come,1537,91,2022-10-21 04:42:02+00:00
74,elonmusk,https://t.co/WqGm6InNTp,224784,23358,2022-10-21 03:31:20+00:00
75,elonmusk,@bgarlinghouse No way,20138,2842,2022-10-21 02:57:24+00:00
76,elonmusk,@SamitoFPS Maybe,3107,152,2022-10-21 02:00:08+00:00
77,elonmusk,@NewsfromScience Certainly warrants closer scrutiny,16242,1307,2022-10-21 01:50:54+00:00
78,elonmusk,@NikLentz @JenniferJJacobs @SalehaMohsin @BloombergTV 💯🤣,3911,240,2022-10-21 01:11:17+00:00
79,elonmusk,"@MedvedevRussiaE @trussliz Btw, how’s it going in Bakhmut?",15327,751,2022-10-20 21:20:40+00:00
80,elonmusk,@MedvedevRussiaE @trussliz Pretty good troll tbh,39183,1355,2022-10-20 21:12:17+00:00
81,elonmusk,@Alan_McGuinness *humour,4752,126,2022-10-20 21:07:30+00:00
82,elonmusk,@ilyasut I couldn’t agree more 😜,2401,100,2022-10-20 20:37:33+00:00
83,elonmusk,@Alan_McGuinness British humor is the best,58451,1979,2022-10-20 20:36:51+00:00
84,elonmusk,@PPathole @EvaFoxU @DavidSacks Compromise is overwhelmingly the most likely outcome – just a question of how much death &amp; destruction happens before then,4478,355,2022-10-20 17:42:06+00:00
85,elonmusk,@gaborgurbacs @EvaFoxU @DavidSacks That should be the nature of the debate,1381,71,2022-10-20 17:39:15+00:00
86,elonmusk,"@EvaFoxU @DavidSacks Most probable outcome by far is a horrible war of attrition that destroys Ukraine &amp; severely damages Russia, with massive body count on both sides.

And, in the end, the same outcome. 

So why?",3180,265,2022-10-20 17:32:08+00:00
87,elonmusk,@DavidSacks Exactly,26364,1105,2022-10-20 16:43:40+00:00
88,elonmusk,Congrats to @SpaceX team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.,74592,5233,2022-10-20 16:31:46+00:00
89,elonmusk,@SpaceX 🎯,17049,668,2022-10-20 16:04:33+00:00
90,elonmusk,@romanhelmetguy 💪,8196,341,2022-10-20 11:22:35+00:00
91,elonmusk,@Neuro_Skeptic Same,6614,287,2022-10-20 09:26:29+00:00
92,elonmusk,@marenkahnert @jasondebolt Exactly,1953,79,2022-10-20 07:57:25+00:00
93,elonmusk,"@Teslarati @13ericralph31 SpaceX has more active satellites in orbit than rest of Earth combined, tracking to double rest of Earth soon",16580,1464,2022-10-20 07:30:52+00:00
94,elonmusk,"@jasondebolt The media reports with great fanfare my predictions that are late, but rarely those that come early",23673,1569,2022-10-20 06:52:01+00:00
95,elonmusk,@jakebrowatzke @andyjayhawk 🤣,1979,79,2022-10-20 06:38:51+00:00
96,elonmusk,@Teslarati @JohnnaCrider1 Accelerating sustainable energy is our primary mission,18526,1459,2022-10-20 00:10:14+00:00
97,elonmusk,"@westcoastbill Will require truly exceptional execution, but it is possible",11056,748,2022-10-19 22:33:20+00:00
98,elonmusk,"I will not let you down, no matter what it takes",388591,34773,2022-10-19 18:46:58+00:00
99,elonmusk,@DirtyTesLa Awesome,2371,88,2022-10-19 18:13:39+00:00
100,elonmusk,"We even did a Starlink video call on one airplane aloft to Starlink on another, far away, airplane aloft and it worked perfectly with no lag!",36097,2006,2022-10-19 17:02:48+00:00
101,elonmusk,Vox Populi Vox Dei,53458,5671,2022-10-19 16:59:23+00:00
102,elonmusk,"@chazman @aelluswamy Several major architectural upgrades in 10.69.3, so it’s much more than a point release, but we’re sticking with 10.69 just cause haha",7086,470,2022-10-19 13:45:30+00:00
103,elonmusk,@BillyM2k @atrupar Sounds fair,5360,217,2022-10-19 04:38:38+00:00
104,elonmusk,@BillyM2k Definitely giving me kid naming ideas 🤣,43871,1372,2022-10-19 03:59:49+00:00
105,elonmusk,And … sold out!,57448,1740,2022-10-19 03:58:56+00:00
106,elonmusk,Internet in airplanes will feel same as if you were accessing Internet at home! https://t.co/Mfl2ixYnJH,97021,8023,2022-10-19 03:37:07+00:00
107,elonmusk,"28,700 bottles of exquisite Burnt Hair perfume already sold! 

Only 1,300 left of this unique, limited edition, collector’s item. https://t.co/Gh2Zg7B5qX",45481,3310,2022-10-19 01:42:18+00:00
108,elonmusk,@cb_doge @alex_avoigt We’re working on it. Hope to release something next week.,2898,183,2022-10-19 00:07:43+00:00
109,elonmusk,"@alex_avoigt No money from DoD, but several other countries, orgs &amp; individuals are paying for ~11k/25k terminals (thanks!).

SpaceX is losing ~$20M/month due to unpaid service &amp; costs related to enhanced security measures for cyberwar defense, but we’ll keep doing it (sigh).",33369,2806,2022-10-19 00:06:14+00:00
110,elonmusk,"@atrupar Smart? Maybe. 
Does dumb stuff? Definitely!",12453,593,2022-10-18 20:27:31+00:00
111,elonmusk,@balajis True,2666,101,2022-10-18 19:11:02+00:00
112,elonmusk,@HassanNatha https://t.co/jxA4stwf1d,4146,186,2022-10-18 15:49:06+00:00
113,elonmusk,@TonyadeVitti 🤣,4090,102,2022-10-18 15:45:12+00:00
114,elonmusk,@520AlRihla Exactly,1529,64,2022-10-18 15:12:00+00:00
115,elonmusk,@tesla4k 🤣,1970,46,2022-10-18 15:07:38+00:00
116,elonmusk,"@larryronaldpar1 Should I make weapons? Ideally, not.",3861,205,2022-10-18 15:07:11+00:00
117,elonmusk,@TeslaHype An easy prediction,4846,160,2022-10-18 15:03:28+00:00
118,elonmusk,"Drone War I
https://t.co/erVME0CbbN",55284,5221,2022-10-18 14:35:49+00:00
119,elonmusk,@FLVoiceNews https://t.co/CCaYpontFG,12728,746,2022-10-18 13:12:43+00:00
120,elonmusk,@teslaownersSV (Actually) Smart Summon is almost done,15893,784,2022-10-18 06:11:12+00:00
121,elonmusk,@Teslaconomics Yes,12231,571,2022-10-18 02:19:08+00:00
122,elonmusk,@stoolpresidente I have a plan,64846,2336,2022-10-18 01:52:35+00:00
123,elonmusk,@TeslaAIBot @SpaceX @Tesla Thanks Optimus :),18705,708,2022-10-18 00:27:18+00:00
124,elonmusk,"@SawyerMerritt @SpaceX To be precise, 25,300 terminals were sent to Ukraine, but, at present, only 10,630 are paying for service",9324,746,2022-10-17 19:57:10+00:00
125,elonmusk,@SawyerMerritt @SpaceX SpaceX has already withdrawn its request for funding,57387,3224,2022-10-17 19:52:57+00:00
126,elonmusk,"@starrski71 @RenataKonkoly @EvaFoxU @kadubai11 @spideycyp_155 Wrong analogy. America also had a humiliating withdrawal from Afghanistan. No one in America sees that country as part of America.

Crimea *is* seen as a crucial part of Russia by Russia, much as Hawaii is seen as a crucial part of America.",8757,895,2022-10-17 14:03:13+00:00
127,elonmusk,@EnjoyerFive 🎯🤣,13818,326,2022-10-17 13:52:08+00:00
128,elonmusk,@PPathole @spideycyp_155 Probably not,2293,91,2022-10-17 13:48:51+00:00
129,elonmusk,@zerohedge Practice makes perfect …,45862,2741,2022-10-17 13:47:55+00:00
130,elonmusk,"@RenataKonkoly @EvaFoxU @kadubai11 @spideycyp_155 Russia has been punched in the nose and forced to retreat many times by Ukraine. 

But what you don’t want to do is give Russia a choice of total, humiliating defeat or nukes – then the probability of them using nukes is high.",3448,240,2022-10-17 13:46:13+00:00
131,elonmusk,"@kadubai11 @spideycyp_155 Obviously many disagree with this logic, but what do they think is their probability of being wrong about WW3. 

If they say 0%, they are utterly dangerous fools.",4948,381,2022-10-17 13:41:33+00:00
132,elonmusk,"@kadubai11 @spideycyp_155 But, hey, look on the bright side! At least Russia doesn’t get Crimea in that scenario, so you can be comforted by that thought, while watching the mushroom clouds rise.",11718,1007,2022-10-17 13:30:01+00:00
133,elonmusk,"@kadubai11 @spideycyp_155 If Russia faces destruction of their army and utter defeat by NATO, they will use nukes, then NATO will respond with nukes and civilization is over",9856,1199,2022-10-17 13:25:25+00:00
134,elonmusk,"@spideycyp_155 Whether one likes it or not, Crimea is absolutely seen as a core part of Russia by Russia. 

Crimea is also of critical national security importance to Russia, as it is their southern navy base.

From their standpoint losing Crimea is like USA losing Hawaii &amp; Pearl Harbor.",15867,2523,2022-10-17 13:17:08+00:00
135,elonmusk,@hyiki22 @spideycyp_155 Exactly,3727,157,2022-10-17 12:53:31+00:00
136,elonmusk,"@spideycyp_155 If Russia is faced with the choice of losing Crimea or using battlefield nukes, they will choose the latter.

We’ve already sanctioned/cutoff Russia in every possible way, so what more do they have left to lose? 

If we nuke Russia back, they will nuke us and then we have WW3.",19756,3110,2022-10-17 12:46:02+00:00
137,elonmusk,Exceptionally well-said https://t.co/UT8fXG0MeF,58692,9252,2022-10-17 12:32:40+00:00
138,elonmusk,"@rhensing @keith_dorschner @teslaownersSV Standard (non-performance) 3 &amp; Y suspension in production now has improved comfort, without affecting handling",2532,211,2022-10-17 12:14:48+00:00
139,elonmusk,"@DrKnowItAll16 @pirate3Guy @HSerunjogi Yeah, RV version is lower priority than standard version. 

You should still see high speeds during off hours. Is that happening?

As we add more satellites &amp; upgrade satellite technology, speeds in high user density locations should see significant increases.",1689,84,2022-10-17 11:52:08+00:00
140,elonmusk,"Ok, we will add a donate option to Starlink",73608,4064,2022-10-17 07:01:46+00:00
141,elonmusk,"@pirate3Guy @HSerunjogi That’s oddly low. Normally, much higher.",2308,54,2022-10-17 07:00:46+00:00
142,elonmusk,Are there others that want to donate Starlinks to places in need? https://t.co/M0ASMenMRD,63005,5436,2022-10-17 06:55:10+00:00
143,elonmusk,@HSerunjogi Ok,22069,588,2022-10-17 05:54:03+00:00
144,elonmusk,@DogecoinNorway @moxie @ID_AA_Carmack 🤣 that’s happened to me many times,1695,68,2022-10-17 05:52:27+00:00
145,elonmusk,@moxie @ID_AA_Carmack A much quieter leaf blower is possible,1984,99,2022-10-17 05:47:40+00:00
146,elonmusk,"@teslaownersSV This is harder than it sounds, but ok",6970,298,2022-10-16 21:55:13+00:00
147,elonmusk,Deus X Machina,67096,4182,2022-10-16 21:51:48+00:00
148,elonmusk,"@ChrisG_NSF We are proceeding very carefully. If there is a RUD on the pad, Starship progress will be set back by ~6 months.",10706,691,2022-10-16 20:26:15+00:00
149,elonmusk,@Rainmaker1973 Game over when (not if) Earth gets hit by an object of that size,69133,3386,2022-10-16 15:39:58+00:00
150,elonmusk,@N_Schmid Ramen &gt;&gt; Lambos,3103,190,2022-10-16 15:01:52+00:00
151,elonmusk,@Rainmaker1973 Used a lot in rocketry,6932,366,2022-10-16 14:59:10+00:00
152,elonmusk,So true https://t.co/PwmxUVU2Fc,237576,21923,2022-10-16 14:26:13+00:00
153,elonmusk,@Rainmaker1973 Every millipede has its millennia,13349,495,2022-10-16 14:17:00+00:00
154,elonmusk,@HardcoreHistory We should bring back their outfits,15528,496,2022-10-16 14:14:32+00:00
155,elonmusk,@karpathy Good thread,6715,276,2022-10-16 14:10:52+00:00
156,elonmusk,Fancy a game of meme tennis? https://t.co/d9tqIlg7nB,44236,2806,2022-10-16 05:17:46+00:00
157,elonmusk,Buy Burnt Hair from a company that digs holes!,33981,1639,2022-10-16 05:13:44+00:00
158,elonmusk,@chicago_glenn I read this as goth clowns lonely,3742,138,2022-10-16 05:02:22+00:00
159,elonmusk,Did you hear about the dyslexic KBG agent – it’s pot secret!,94549,5122,2022-10-16 04:51:35+00:00
160,elonmusk,@utamadush 🤣,1320,41,2022-10-16 04:48:08+00:00
161,elonmusk,"Venn diagram intersection of those two audiences is pretty small, I guess",14500,539,2022-10-16 04:46:02+00:00
162,elonmusk,Not as popular as I’d hoped (sigh),16467,600,2022-10-16 04:44:53+00:00
163,elonmusk,"Pitching my idea once again for a crossover of Das Boot &amp; Boss Baby.

“Das Baby” – Hijinks on the high seas! https://t.co/FieRmSthp2",31055,1950,2022-10-16 03:41:07+00:00
164,elonmusk,"@teslaownersSV @oldmordim Just a scratch, we can buff it out",4065,184,2022-10-16 03:35:16+00:00
165,elonmusk,@oldmordim Mostly accurate,2147,87,2022-10-16 03:31:45+00:00
166,elonmusk,The comments in this thread are a conspiracy theorist’s wet dream,62805,2378,2022-10-16 03:24:24+00:00
167,elonmusk,@EvaFoxU Yup,7735,287,2022-10-16 00:26:43+00:00
168,elonmusk,@EvaFoxU 7 years ago,11394,382,2022-10-15 23:43:55+00:00
169,elonmusk,@FutureJurvetson @SpaceX Definitely one of the strangest meetings I’ve ever experienced. @adeoressi was there too.,8641,358,2022-10-15 20:18:53+00:00
170,elonmusk,@KimDotcom @Twitter I’m trying my hardest to de-escalate this situation and obviously failing,23683,1851,2022-10-15 20:15:19+00:00
171,elonmusk,"@KimDotcom @Twitter Damned if you do, damned if you don’t, so … guess I’m just damned",18729,1032,2022-10-15 19:52:35+00:00
172,elonmusk,"@SawyerMerritt Starship &amp; next-gen Starlink satellites are key, but much risk lies ahead before those are working at scale",3732,208,2022-10-15 19:48:57+00:00
173,elonmusk,@RaheemKassam The hilarious thing is you’re not wrong 🤣,8447,446,2022-10-15 19:35:44+00:00
174,elonmusk,@EvaFoxU So it goes …,13694,257,2022-10-15 19:31:57+00:00
175,elonmusk,@gainzy222 Fate loves irony,28623,729,2022-10-15 18:18:59+00:00
176,elonmusk,"@DavidSacks Even so, we should still do good deeds",66081,2219,2022-10-15 18:14:03+00:00
177,elonmusk,"The hell with it … even though Starlink is still losing money &amp; other companies are getting billions of taxpayer $, we’ll just keep funding Ukraine govt for free",515370,39455,2022-10-15 18:06:20+00:00
178,elonmusk,"@Brian_J_Berger That dude is not just a “condition of anonymity” spineless coward, he’s also an ignorant fool. Starlink was directly requested by the Ukraine government, as it was the only thing that worked.",7723,663,2022-10-15 17:43:59+00:00
179,elonmusk,"@spideycyp_155 @PPathole @ashleevance It has required a lot of our resources. Going into super lockdown mode slows down new development progress, as we have to resist attacks from a sophisticated adversary actively at war.",3224,246,2022-10-15 17:17:22+00:00
180,elonmusk,"@ashleevance DoD provided about 3% of the Falcon 1 development cost. Appreciated, certainly, but should be seen in context.",3322,224,2022-10-15 17:08:42+00:00
181,elonmusk,@PPathole @ashleevance Of course. And their signal jamming systems are also getting better.,3243,227,2022-10-15 16:56:42+00:00
182,elonmusk,"@ashleevance The amount SpaceX is requesting for a major battlefield advantage is less than the cost of one new GPS satellite. Ironically, GPS doesn’t work on battlefields, as the signal is easy to jam, but Starlink does.",20181,1541,2022-10-15 16:37:09+00:00
183,elonmusk,"@ajtourville Would be great if someday humanity stopped pointing nukes at itself that would destroy almost all life on Earth.

In any given year, there is a chance above zero that they will be launched. We are now at the highest risk in 60 years.

https://t.co/hSqNeYHNX1",5476,819,2022-10-15 16:33:30+00:00
184,elonmusk,"@WholeMarsBlog Curses, foiled again!",27391,768,2022-10-15 06:36:12+00:00
